Indicator,Date,Value
NIM,2024,8.795687849
NIM,2023,8.926666667
NIM,2022,8.52
NIM,2021,8.9225
NIM,2020,9.544166667
NIM,2019,10.36583333
NIM,2018,10.53666667
NIM,2017,11.07333333
NIM,2016,11.88833333
NIM,2015,12.6625
NIM,2014,12.605
NIM,2013,11.6575
NIM,2012,11.795
NIM,2011,12.40333333
NIM,2010,13.25166667
NIM,2009,14.49833333
NIM,2008,13.59833333
NIM,2007,13.86166667
NIM,2006,15.97916667
NIM,2005,14.05083333
NIM,2004,14.12416667
NIM,2003,16.935
NIM,2002,18.945
NIM,2001,18.5475
NIM,2000,18.455
NIM,1999,27.6625
NIM,1998,32.15416667
NIM,1997,21.8175
NIM,1996,19.2175
NIM,1995,18.85166667
NIM,1994,17.76
NIM,1993,20.58666667
NIM,1992,24.03333333
NIM,1991,25.53333333
NIM,1990,20.825
NIM,1989,21.69916667
NIM,1988,22.0975
NIM,1987,21.66666667
NIM,1986,21.50416667
CAR,2023,13.3626234670299
CAR,2022,13.28970234714
CAR,2021,13.1696920960953
CAR,2020,12.5634216351375
CAR,2019,13.4039163891179
CAR,2018,12.8231121824865
CAR,2017,14.6182982891751
CAR,2016,12.4254380685723
CAR,2015,10.7746096789164
CAR,2014,9.961614035339
CAR,2013,9.59759906195034
CAR,2012,9.00423180425004
CAR,2011,8.62814831400534
CAR,2010,8.18652095676075
CAR,2009,7.86664838953077
CAR,2008,7.579854891937
CAR,2007,7.83432458392869
CAR,2006,7.63777895246626
CAR,2005,7.77656060636301
